study,n,percent
5,9,0.012244897959183673
12,6,0.00816326530612245
13,16,0.021768707482993196
15,10,0.013605442176870748
16,10,0.013605442176870748
18,7,0.009523809523809525
22,13,0.017687074829931974
23,10,0.013605442176870748
24,10,0.013605442176870748
25,14,0.01904761904761905
26,10,0.013605442176870748
27,10,0.013605442176870748
28,19,0.02585034013605442
29,7,0.009523809523809525
30,8,0.010884353741496598
31,7,0.009523809523809525
32,7,0.009523809523809525
36,8,0.010884353741496598
38,8,0.010884353741496598
40,6,0.00816326530612245
41,9,0.012244897959183673
42,8,0.010884353741496598
43,10,0.013605442176870748
44,10,0.013605442176870748
45,10,0.013605442176870748
47,10,0.013605442176870748
50,8,0.010884353741496598
51,8,0.010884353741496598
52,10,0.013605442176870748
53,10,0.013605442176870748
54,7,0.009523809523809525
55,10,0.013605442176870748
56,10,0.013605442176870748
57,10,0.013605442176870748
58,12,0.0163265306122449
59,10,0.013605442176870748
60,8,0.010884353741496598
61,7,0.009523809523809525
63,9,0.012244897959183673
65,12,0.0163265306122449
66,12,0.0163265306122449
68,8,0.010884353741496598
71,7,0.009523809523809525
72,12,0.0163265306122449
75,16,0.021768707482993196
76,8,0.010884353741496598
77,20,0.027210884353741496
78,39,0.053061224489795916
80,8,0.010884353741496598
81,32,0.04353741496598639
86,20,0.027210884353741496
88,6,0.00816326530612245
89,14,0.01904761904761905
92,6,0.00816326530612245
96,24,0.0326530612244898
102,16,0.021768707482993196
105,10,0.013605442176870748
108,12,0.0163265306122449
110,8,0.010884353741496598
111,10,0.013605442176870748
114,34,0.04625850340136054
118,10,0.013605442176870748
122,10,0.013605442176870748
125,10,0.013605442176870748
